"D_Gemeente";"D_Postnummer";"D_GemeenteNaam";"D_LandCode"
"1";"9420";"Aaigem";"BEL"
"2";"8511";"Aalbeke";"BEL"
"3";"9300";"Aalst";"BEL"
"4";"3800";"Aalst (Limb.)";"BEL"
"5";"9880";"Aalter";"BEL"
"6";"3200";"Aarschot";"BEL"
"7";"8700";"Aarsele";"BEL"
"8";"8211";"Aartrijke";"BEL"
"9";"2630";"Aartselaar";"BEL"
"10";"4557";"Ab?e";"BEL"
"11";"4280";"Abolens";"BEL"
"12";"3930";"Achel";"BEL"
"13";"5590";"Ach?ne";"BEL"
"14";"5362";"Achet";"BEL"
"15";"4219";"Acosse";"BEL"
"16";"6280";"Acoz";"BEL"
"17";"9991";"Adegem";"BEL"
"18";"8660";"Adinkerke";"BEL"
"19";"1790";"Affligem";"BEL"
"20";"9051";"Afsnee";"BEL"
"21";"5544";"Agimont";"BEL"
"22";"4317";"Aineffe";"BEL"
"23";"5310";"Aische-en-Refail";"BEL"
"24";"6250";"Aiseau";"BEL"
"25";"6250";"Aiseau-Presles";"BEL"
"26";"5070";"Aisemont";"BEL"
"27";"3570";"Alken";"BEL"
"28";"5550";"Alle";"BEL"
"29";"4432";"Alleur";"BEL"
"30";"1652";"Alsemberg";"BEL"
"31";"8690";"Alveringem";"BEL"
"32";"4540";"Amay";"BEL"
"33";"6680";"Amberloup";"BEL"
"34";"4770";"Ambl?ve";"BEL"
"35";"6953";"Ambly";"BEL"
"36";"4219";"Ambresin";"BEL"
"37";"4770";"Amel";"BEL"
"38";"6997";"Amonines";"BEL"
"39";"7750";"Amougies";"BEL"
"40";"4540";"Ampsin";"BEL"
"41";"5300";"Andenne";"BEL"
"42";"1070";"Anderlecht";"BEL"
"43";"6150";"Anderlues";"BEL"
"44";"4821";"Andrimont";"BEL"
"45";"4031";"Angleur";"BEL"
"46";"7387";"Angre";"BEL"
"47";"7387";"Angreau";"BEL"
"48";"5537";"Anh?e";"BEL"
"49";"6721";"Anlier";"BEL"
"50";"6890";"Anloy";"BEL"
"51";"5537";"Annevoie-Rouillon";"BEL"
"52";"4430";"Ans";"BEL"
"53";"5500";"Anseremme";"BEL"
"54";"7750";"Anseroeul";"BEL"
"55";"5520";"Anth?e";"BEL"
"56";"4520";"Antheit";"BEL"
"57";"4160";"Anthisnes";"BEL"
"58";"7640";"Antoing";"BEL"
"59";"2000";"Antwerpen";"BEL"
"60";"2018";"Antwerpen";"BEL"
"61";"2020";"Antwerpen";"BEL"
"62";"2030";"Antwerpen";"BEL"
"63";"2040";"Antwerpen";"BEL"
"64";"2050";"Antwerpen";"BEL"
"65";"2060";"Antwerpen";"BEL"
"66";"7910";"Anvaing";"BEL"
"67";"8570";"Anzegem";"BEL"
"68";"9200";"Appels";"BEL"
"69";"9400";"Appelterre-Eichem";"BEL"
"70";"7811";"Arbre (Ht.)";"BEL"
"71";"5170";"Arbre (Nam.)";"BEL"
"72";"4990";"Arbrefontaine";"BEL"
"73";"7910";"Arc-Aini?res";"BEL"
"74";"1390";"Archennes";"BEL"
"75";"7910";"Arc-Wattripont";"BEL"
"76";"8850";"Ardooie";"BEL"
"77";"2370";"Arendonk";"BEL"
"78";"4601";"Argenteau";"BEL"
"79";"6700";"Arlon";"BEL"
"80";"7181";"Arquennes";"BEL"
"81";"5060";"Arsimont";"BEL"
"82";"6870";"Arville";"BEL"
"83";"3665";"As";"BEL"
"84";"9404";"Aspelare";"BEL"
"85";"9890";"Asper";"BEL"
"86";"7040";"Asquillies";"BEL"
"87";"1007";"Ass. Commiss. Communau. fran?aise";"BEL"
"88";"1005";"Ass. R?un. Com. Communau. Commune";"BEL"
"89";"1730";"Asse";"BEL"
"90";"8310";"Assebroek";"BEL"
"91";"9960";"Assenede";"BEL"
"92";"6860";"Assenois";"BEL"
"93";"3460";"Assent";"BEL"
"94";"5330";"Assesse";"BEL"
"95";"9800";"Astene";"BEL"
"96";"7800";"Ath";"BEL"
"97";"7387";"Athis";"BEL"
"98";"6791";"Athus";"BEL"
"99";"3404";"Attenhoven";"BEL"
"100";"3384";"Attenrode";"BEL"
"101";"6717";"Attert";"BEL"
"102";"7941";"Attre";"BEL"
"103";"6790";"Aubange";"BEL"
"104";"7972";"Aubechies";"BEL"
"105";"4880";"Aubel";"BEL"
"106";"5660";"Aublain";"BEL"
"107";"6880";"Auby-sur-Semois";"BEL"
"108";"1160";"Auderghem";"BEL"
"109";"7382";"Audregnies";"BEL"
"110";"7040";"Aulnois";"BEL"
"111";"6706";"Autelbas";"BEL"
"112";"1367";"Autre-Eglise";"BEL"
"113";"7387";"Autreppe";"BEL"
"114";"5060";"Auvelais";"BEL"
"115";"5580";"Ave-et-Auffe";"BEL"
"116";"8630";"Avekapelle";"BEL"
"117";"8580";"Avelgem";"BEL"
"118";"4260";"Avennes";"BEL"
"119";"3271";"Averbode";"BEL"
"120";"4280";"Avernas-le-Bauduin";"BEL"
"121";"4280";"Avin";"BEL"
"122";"4340";"Awans";"BEL"
"123";"6870";"Awenne";"BEL"
"124";"4400";"Awirs";"BEL"
"125";"6900";"Aye";"BEL"
"126";"4630";"Ayeneux";"BEL"
"127";"4920";"Aywaille";"BEL"
"128";"4090";"B.S.D. (Belg. Strijdkr. Duitsland)";"BEL"
"129";"9890";"Baaigem";"BEL"
"130";"3128";"Baal";"BEL"
"131";"9310";"Baardegem";"BEL"
"132";"2387";"Baarle-Hertog";"BEL"
"133";"9200";"Baasrode";"BEL"
"134";"9800";"Bachte-Maria-Leerne";"BEL"
"135";"4837";"Baelen (Lg.)";"BEL"
"136";"5550";"Bagimont";"BEL"
"137";"6464";"Baileux";"BEL"
"138";"6460";"Baili?vre";"BEL"
"139";"5555";"Baillamont";"BEL"
"140";"7730";"Bailleul";"BEL"
"141";"5377";"Baillonville";"BEL"
"142";"7380";"Baisieux";"BEL"
"143";"1470";"Baisy-Thy";"BEL"
"144";"5190";"Bal?tre";"BEL"
"145";"9860";"Balegem";"BEL"
"146";"2490";"Balen";"BEL"
"147";"9420";"Bambrugge";"BEL"
"148";"6951";"Bande";"BEL"
"149";"6500";"Barben?on";"BEL"
"150";"4671";"Barchon";"BEL"
"151";"5570";"Baronville";"BEL"
"152";"7534";"Barry";"BEL"
"153";"5370";"Barvaux-Condroz";"BEL"
"154";"6940";"Barvaux-sur-Ourthe";"BEL"
"155";"7971";"Bas?cles";"BEL"
"156";"4520";"Bas-Oha";"BEL"
"157";"4983";"Basse-Bodeux";"BEL"
"158";"4690";"Bassenge";"BEL"
"159";"9968";"Bassevelde";"BEL"
"160";"7830";"Bassilly";"BEL"
"161";"6600";"Bastogne";"BEL"
"162";"7784";"Bas-Warneton";"BEL"
"163";"3870";"Batsheers";"BEL"
"164";"4651";"Battice";"BEL"
"165";"7130";"Battignies";"BEL"
"166";"7331";"Baudour";"BEL"
"167";"7870";"Bauffe";"BEL"
"168";"7604";"Baugnies";"BEL"
"169";"1401";"Baulers";"BEL"
"170";"9520";"Bavegem";"BEL"
"171";"8531";"Bavikhove";"BEL"
"172";"9150";"Bazel";"BEL"
"173";"4052";"Beaufays";"BEL"
"174";"6500";"Beaumont";"BEL"
"175";"5570";"Beauraing";"BEL"
"176";"6980";"Beausaint";"BEL"
"177";"1320";"Beauvechain";"BEL"
"178";"8630";"Beauvoorde";"BEL"
"179";"6594";"Beauwelz";"BEL"
"180";"7532";"Beclers";"BEL"
"181";"3960";"Beek";"BEL"
"182";"9630";"Beerlegem";"BEL"
"183";"8730";"Beernem";"BEL"
"184";"2340";"Beerse";"BEL"
"185";"1650";"Beersel";"BEL"
"186";"8600";"Beerst";"BEL"
"187";"1673";"Beert";"BEL"
"188";"9080";"Beervelde";"BEL"
"189";"2580";"Beerzel";"BEL"
"190";"5000";"Beez";"BEL"
